release_year,n,price_range,mean_price,median_price,max_price
2025,1,-Inf,NA,NA,-Inf
2023,1,0,2.99,2.99,2.99
2022,3,0,0,0,0
2021,2,-Inf,NA,NA,-Inf
2020,24,50,28.65666666666667,15.99,59.99
2019,4806,624.74,16.23707614446746,4.99,624.74
2018,9738,624.74,13.1901697386231,4.99,624.74
2017,7279,650560,104.45555617507382,4.99,650560
2016,5326,598,11.61710100231303,4.99,598
2015,3249,501.87,12.011425702811167,4.99,501.87
2014,1921,501.87,15.82800785634117,5.99,501.87
2013,979,501.87,23.24952380952384,6.99,501.87
2012,687,501.87,14.257916666666675,4.99,501.87
2011,432,475.6,12.438481927710843,5.99,475.6
2010,318,501.87,15.927974276527328,6.99,501.87
2009,262,475.6,13.268352941176472,9.99,475.6
2008,163,475.6,15.96226415094339,9.99,475.6
2007,130,124.99,8.739370078740158,6.99,124.99
2006,119,89.9,10.536752136752135,9.99,89.9
2005,86,133.81,10.494880952380953,7.99,133.81
2004,62,41.94,8.167741935483871,8.99,41.94
2003,74,19.99,7.400270270270271,6.99,19.99
2002,42,12,7.648536585365854,6.99,14.99
2001,51,79.95,10.153673469387757,5.99,79.95
2000,38,68.97,8.86,6.99,69.99
1999,50,69.99,10.851200000000002,5.99,69.99
1998,42,68.97,11.084285714285715,6.49,69.99
1997,36,29.99,7.166944444444445,5.99,29.99
1996,37,55.92,6.694054054054054,4.99,55.92
1995,29,55.92,8.473793103448276,5.99,55.92
1994,25,14.99,6.865833333333334,6.99,14.99
1993,20,26.95,8.408947368421053,5.99,26.95
1992,8,6,6.99,6.99,9.99
1991,8,21.96,10.698571428571428,9.99,26.95
1990,9,50.93,19.5975,8.49,55.92
1989,6,54.9,11.988333333333333,3.99,55.92
1988,5,7,6.390000000000001,5.99,9.99
1987,4,5.970000000000001,5.2475000000000005,6.49,6.99
1986,1,0,7.99,7.99,7.99
1985,1,0,55.92,55.92,55.92
1984,2,8,5.99,5.99,9.99
1983,1,0,9.99,9.99,9.99
1981,1,0,0,0,0
